,id matches,patch,region,league_name,league_id,radiant_name,radiant_id,dire_name,dire_id,radiant_score,dire_score,first_ban_radiant,ban1,ban2,ban3,ban4,ban5,ban6,pick1,pick2,pick3,pick4,ban7,ban8,ban9,ban10,pick5,pick6,pick7,pick8,ban11,ban12,pick9,pick10,radiant_win
69,3541962187,20.0,3,AMD SAPPHIRE Dota PIT,5690,Immortals,35.0,SG e-sports team,54.0,20,34,1,9,112,3,60,78,71,47,62,86,100,4,69,31,109,15,1,16,13,87,54,68,81,0
70,3542046046,21.0,12,Dota 2 Professional League 2016,4920,Rock Gaming,59.0,ForTheDream,30.0,23,31,0,13,9,88,3,51,28,85,65,64,20,40,12,35,72,109,112,75,38,94,39,25,74,0
71,3542160201,20.0,3,AMD SAPPHIRE Dota PIT,5690,Fnatic,7.0,OG,0.0,10,31,0,3,38,112,107,31,68,78,60,27,51,30,65,36,93,15,87,53,109,13,94,40,49,0
72,3542225356,20.0,12,Dota 2 Professional League 2016,4920,Rock Gaming,59.0,ForTheDream,30.0,38,35,0,13,85,88,9,51,3,20,31,28,30,38,63,109,54,7,45,35,44,60,12,23,81,0
73,3542359881,20.0,3,AMD SAPPHIRE Dota PIT,5690,SG e-sports team,54.0,Virtus.pro,18.0,18,36,0,31,60,85,58,112,78,3,62,50,38,88,15,47,81,16,28,52,54,39,109,9,12,0
74,3542603444,20.0,3,AMD SAPPHIRE Dota PIT,5690,Newbee,12.0,OG,0.0,27,22,0,112,78,71,38,16,107,84,3,9,86,1,13,94,41,60,96,114,93,43,4,15,2,1
75,3542800810,20.0,3,AMD SAPPHIRE Dota PIT,5690,Newbee,12.0,Virtus.pro,18.0,19,13,0,85,60,31,38,112,78,3,84,9,53,39,65,47,16,97,28,44,20,46,107,87,50,1
76,3542962816,20.0,3,AMD SAPPHIRE Dota PIT,5690,Team Liquid,16.0,Vici Gaming,11.0,22,30,1,112,91,85,38,97,3,86,84,78,107,13,43,1,76,9,39,49,98,53,88,80,110,1
77,3543084625,20.0,3,AMD SAPPHIRE Dota PIT,5690,Team Liquid,16.0,Vici Gaming,11.0,29,20,0,78,85,80,112,91,38,3,83,86,66,9,1,43,69,13,47,18,97,44,15,114,61,1
78,3544380687,20.0,3,AMD SAPPHIRE Dota PIT,5690,Newbee,12.0,Vici Gaming,11.0,30,29,0,60,38,13,85,114,78,112,3,16,86,57,9,69,39,97,29,70,36,43,76,109,52,0
79,3544437630,21.0,12,Dota 2 Professional League 2016,4920,Team Waooo,79.0,ForTheDream,30.0,20,44,1,20,62,3,85,40,88,64,84,9,107,12,38,4,86,58,36,65,78,54,109,63,76,0
80,3544548127,20.0,3,AMD SAPPHIRE Dota PIT,5690,Newbee,12.0,Vici Gaming,11.0,25,20,0,60,38,13,112,9,78,85,16,68,57,1,114,49,39,18,7,65,76,63,43,20,94,1
81,3544571330,20.0,12,Dota 2 Professional League 2016,4920,Team Waooo,79.0,ForTheDream,30.0,27,42,0,62,20,88,40,3,9,85,53,84,65,114,63,25,54,39,4,92,12,86,6,27,72,0
82,3544710395,20.0,3,AMD SAPPHIRE Dota PIT,5690,Newbee,12.0,Vici Gaming,11.0,38,52,0,13,38,60,112,16,78,85,68,107,97,1,114,54,94,39,87,57,43,70,18,41,42,0
83,3544999229,20.0,3,AMD SAPPHIRE Dota PIT,5690,Team Liquid,16.0,Vici Gaming,11.0,22,32,0,80,85,47,38,107,112,86,3,60,43,41,54,97,53,103,51,11,1,2,109,29,70,0
84,3545125310,20.0,3,AMD SAPPHIRE Dota PIT,5690,Team Liquid,16.0,Vici Gaming,11.0,25,53,1,112,38,85,86,43,107,5,3,78,28,80,51,54,18,52,53,13,44,47,109,39,81,0
85,3545253155,20.0,3,AMD SAPPHIRE Dota PIT,5690,Vici Gaming,11.0,Team Liquid,16.0,13,30,1,107,85,80,112,47,38,86,68,60,51,97,53,81,54,69,42,77,43,29,61,65,93,0
86,3545330410,20.0,3,AMD SAPPHIRE Dota PIT,5690,Vici Gaming,11.0,Team Liquid,16.0,14,32,1,60,85,107,112,68,43,38,80,7,86,54,74,35,3,90,28,78,63,39,49,17,46,0
87,3545411013,20.0,3,AMD SAPPHIRE Dota PIT,5690,Team Liquid,16.0,Vici Gaming,11.0,28,10,1,112,80,43,60,85,38,107,84,97,78,36,44,47,8,27,83,1,74,41,46,54,13,1
88,3546320523,20.0,7,AEF Season 2,5491,Robot House,,Generation of Miracles,,8,31,0,91,3,88,85,60,100,16,64,107,39,69,13,104,74,43,68,57,41,4,94,96,1,0
89,3546409724,20.0,12,Dota 2 Professional League 2016,4920,Vici Gaming Potential,58.0,ForTheDream,30.0,44,23,0,62,3,51,85,13,88,20,39,107,60,4,112,31,92,9,87,84,104,94,69,46,41,1
90,3546567824,20.0,12,Dota 2 Professional League 2016,4920,ForTheDream,30.0,Vici Gaming Potential,58.0,16,36,0,40,60,3,62,88,9,85,84,39,13,20,12,92,4,86,112,1,28,44,78,54,69,0
91,3546673102,20.0,12,Dota 2 Professional League 2016,4920,Vici Gaming Potential,58.0,ForTheDream,30.0,24,30,0,112,88,62,3,107,85,9,31,60,51,40,13,4,41,39,101,12,53,18,69,43,114,0
92,3546786581,20.0,12,Dota 2 Professional League 2016,4920,Vici Gaming Potential,58.0,ForTheDream,30.0,36,10,1,88,112,3,85,40,62,9,4,71,51,13,53,25,43,39,92,55,57,17,75,49,86,1
93,3547144432,20.0,3,DreamLeague season 8,5627,Mid or Feed,27.0,Vega Squadron,8.0,37,7,0,60,38,91,47,84,53,31,51,112,100,65,12,1,20,13,88,57,94,49,109,9,67,1
94,3547233268,20.0,3,DreamLeague season 8,5627,Mid or Feed,27.0,Vega Squadron,8.0,12,27,1,53,38,47,51,9,112,3,86,60,71,77,93,55,13,16,97,35,44,39,41,22,20,0
95,3547324514,20.0,3,DreamLeague season 8,5627,Natus Vincere,17.0,Team Empire,21.0,19,16,0,60,75,51,78,85,38,3,58,20,69,9,94,44,6,107,15,37,65,12,35,39,43,1
96,3547388149,20.0,3,DreamLeague season 8,5627,Team Empire,21.0,Natus Vincere,17.0,12,35,0,75,38,78,51,69,60,112,20,58,85,43,12,4,9,87,53,39,47,63,6,44,94,0
97,3548033849,20.0,7,AEF Season 2,5491,Skatemasters,,No Lich Gaming,,17,28,1,71,51,38,60,3,107,85,96,64,39,36,13,78,54,83,62,8,16,109,17,63,43,0
98,3548058043,20.0,7,AEF Season 2,5491,Yellow Solo Mid Reborn,,Sweet Original Name,,14,30,1,38,1,77,114,47,60,23,71,20,17,68,63,12,76,75,5,8,13,81,97,18,74,0
99,3548108161,20.0,7,AEF Season 2,5491,No Lich Gaming,,Skatemasters,,28,20,0,96,51,69,60,64,68,85,38,62,104,82,3,114,50,30,71,42,11,36,13,20,52,1
100,3548142301,20.0,7,AEF Season 2,5491,Sweet Original Name,,Yellow Solo Mid Reborn,,30,7,0,38,1,75,17,77,60,114,20,112,63,106,74,71,8,13,27,6,51,11,92,43,85,1
101,3548220535,20.0,12,The Summit 5,4442,EHOME,26.0,Vici Gaming,11.0,24,29,1,112,5,85,62,43,38,60,87,78,13,77,84,27,41,28,86,80,54,17,49,44,46,0
102,3548237028,21.0,12,The Summit 5,4442,VGJ Thunder,15.0,LGD-GAMING,5.0,14,24,0,3,60,78,51,31,112,107,7,13,92,6,63,54,65,30,87,80,49,1,45,36,98,0
103,3548330325,,12,The Summit 5,4442,EHOME,26.0,Vici Gaming,11.0,35,53,1,112,62,43,5,60,38,78,85,69,68,81,87,18,50,26,107,54,12,47,106,17,13,0
104,3548362140,21.0,12,The Summit 5,4442,LGD-GAMING,5.0,VGJ Thunder,15.0,19,12,0,51,60,92,78,45,107,112,88,9,7,43,36,4,47,79,13,108,8,57,1,15,52,1
105,3548515278,20.0,12,The Summit 5,4442,LGD-GAMING,5.0,Vici Gaming,11.0,24,36,1,85,107,78,88,3,60,112,84,76,92,35,57,54,65,64,51,72,62,63,41,4,61,0
106,3548643001,20.0,12,The Summit 5,4442,LGD-GAMING,5.0,Vici Gaming,11.0,20,46,1,85,107,78,88,3,60,112,84,72,51,54,57,63,65,13,22,41,95,97,64,28,101,0
107,3548651353,20.0,3,The Summit 5,4442,The Brestomans,,Vega Squadron,8.0,22,17,0,51,38,112,60,68,31,91,3,16,86,1,94,20,47,78,96,72,17,18,13,54,39,1
108,3548758762,20.0,3,The Summit 5,4442,The Brestomans,,Vega Squadron,8.0,27,23,1,38,51,31,78,60,3,88,112,71,75,65,1,94,20,69,13,8,18,15,35,49,47,0
109,3548767455,20.0,3,DreamLeague season 8,5627,Team Secret,1.0,Team Empire,21.0,39,26,0,86,75,71,58,85,38,78,30,7,69,68,43,3,73,47,87,53,35,20,44,42,1,1
110,3548871649,21.0,3,The Summit 5,4442,The Brestomans,,Vega Squadron,8.0,25,41,0,51,60,78,112,75,38,3,64,16,88,1,12,94,15,20,57,35,44,34,33,39,108,0
