,againstHero,games,hero,losses,shift,wins
218,31,12,57,4,14.310689026630849,8
219,46,11,102,3,14.30749471315205,8
220,23,15,18,5,14.275894417804928,10
221,83,11,17,4,14.26961565001442,7
222,12,14,62,4,14.247970004835995,10
223,61,17,7,6,14.21770274028152,11
224,72,10,75,3,14.207053385683187,7
225,58,12,66,3,14.196057070749218,9
226,100,32,3,9,14.177671200718622,23
227,41,30,9,9,14.113579732248976,21
228,104,22,38,7,14.071473191155556,15
229,100,31,68,10,14.06796579805442,21
230,40,29,77,8,14.048771071022596,21
231,45,11,39,4,14.033377854173942,7
232,55,16,103,4,14.032110996505947,12
233,48,29,54,9,14.01975726236914,20
234,6,11,41,4,13.992186541782052,7
235,111,12,75,4,13.972281809419963,8
236,114,29,109,7,13.96133653890184,22
237,108,21,39,7,13.948334466983779,14
238,40,24,71,7,13.948125771645659,17
239,91,11,109,3,13.946188604720339,8
240,75,19,69,5,13.942304484906579,14
241,19,11,89,3,13.94161043882894,8
242,60,14,20,4,13.93992645286088,10
243,37,11,112,3,13.937736127059294,8
244,25,10,112,3,13.919292260310076,7
245,63,31,3,7,13.905152866710315,24
246,16,21,83,6,13.89514480765839,15
247,53,19,50,6,13.883151416746285,13
248,27,18,89,5,13.875961301826154,13
249,39,18,72,5,13.872487814202472,13
250,100,30,103,9,13.847875266312382,21
251,47,12,57,4,13.84267633416554,8
252,38,14,112,3,13.819485047030144,11
253,98,17,31,6,13.805084918983171,11
254,13,74,31,23,13.800549608099516,51
255,97,11,112,2,13.794615799527321,9
256,7,19,76,7,13.79135600101831,12
257,43,24,77,7,13.78751906666527,17
258,62,17,57,4,13.757275808574349,13
259,95,37,88,11,13.752013257016605,26
260,97,10,27,4,13.735152835550483,6
261,63,25,31,7,13.714594813504092,18
262,104,14,44,4,13.703910249073422,10
263,47,13,49,3,13.686396277061283,10
264,49,11,18,3,13.655065375637422,8
265,34,18,60,5,13.644836415292456,13
266,15,10,74,3,13.569326307429137,7
267,76,12,91,3,13.563460914482881,9
