,radiant_Disabler,radiant_Nuker,radiant_Carry,radiant_Initiator,radiant_Escape,radiant_Durable,radiant_Support,radiant_Pusher,radiant_Jungler,dire_Disabler,dire_Nuker,dire_Carry,dire_Initiator,dire_Escape,dire_Durable,dire_Support,dire_Pusher,dire_Jungler,match_id
836,2.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,5.0,3.0,3.0,3.0,2.0,2.0,3.0,0.0,0.0,3161963619
837,4.0,3.0,3.0,3.0,3.0,0.0,2.0,1.0,0.0,4.0,3.0,2.0,3.0,4.0,0.0,1.0,0.0,1.0,3162049990
838,3.0,4.0,3.0,1.0,3.0,1.0,3.0,0.0,1.0,4.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,3162122868
839,5.0,1.0,3.0,4.0,3.0,1.0,1.0,1.0,1.0,4.0,4.0,3.0,3.0,4.0,2.0,1.0,1.0,1.0,3162498830
840,3.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,5.0,5.0,2.0,4.0,3.0,1.0,2.0,1.0,0.0,3162510385
841,5.0,3.0,3.0,2.0,2.0,1.0,2.0,0.0,2.0,4.0,4.0,2.0,3.0,3.0,1.0,2.0,2.0,0.0,3162514732
842,5.0,2.0,2.0,4.0,3.0,2.0,1.0,1.0,1.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0,3162636427
843,4.0,3.0,2.0,3.0,2.0,2.0,1.0,0.0,2.0,5.0,4.0,3.0,4.0,2.0,2.0,1.0,1.0,0.0,3162638643
844,4.0,4.0,2.0,3.0,1.0,2.0,2.0,0.0,0.0,4.0,2.0,4.0,3.0,2.0,3.0,2.0,0.0,0.0,3162679602
845,5.0,4.0,2.0,3.0,4.0,1.0,1.0,0.0,2.0,3.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,3162743023
846,3.0,2.0,2.0,2.0,4.0,1.0,2.0,0.0,1.0,5.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,1.0,3162752866
847,3.0,4.0,3.0,2.0,2.0,2.0,2.0,1.0,0.0,4.0,2.0,3.0,2.0,3.0,1.0,2.0,0.0,2.0,3162901716
848,4.0,5.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,4.0,4.0,3.0,2.0,1.0,3.0,4.0,1.0,1.0,3163004315
849,5.0,2.0,3.0,2.0,3.0,1.0,1.0,0.0,3.0,4.0,3.0,1.0,4.0,1.0,1.0,3.0,2.0,1.0,3163124290
850,4.0,4.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,4.0,2.0,4.0,3.0,2.0,1.0,1.0,0.0,3163783659
851,3.0,4.0,2.0,2.0,3.0,0.0,1.0,0.0,1.0,5.0,4.0,2.0,3.0,2.0,1.0,2.0,0.0,1.0,3163937850
852,4.0,2.0,2.0,3.0,3.0,2.0,2.0,0.0,2.0,5.0,3.0,1.0,4.0,1.0,3.0,2.0,1.0,0.0,3164040620
