,radiant_id,radiant_name,dire_id,dire_name,kills,radiant1,radiant2,radiant3,radiant4,radiant5,dire1,dire2,dire3,dire4,dire5,radiant_win
338,6.0,Mineski.???,39.0,Execration,77,85,96,87,20,74,112,39,19,28,12,1
339,6.0,Mineski.???,39.0,Execration,52,13,84,64,54,114,39,107,87,96,81,1
341,21.0,Team Empire,17.0,Natus Vincere,35,20,58,60,46,12,79,41,23,39,94,0
343,17.0,Natus Vincere,21.0,Team Empire,46,38,60,87,18,49,30,107,39,19,29,1
344,38.0,PENTA Sports,0.0,OG,32,60,13,87,4,94,3,55,28,77,34,0
345,38.0,PENTA Sports,0.0,OG,67,38,52,51,10,57,79,48,88,96,74,0
346,8.0,Vega Squadron,18.0,Virtus.pro,52,84,29,16,15,9,19,79,107,69,13,0
347,18.0,Virtus.pro,8.0,Vega Squadron,29,3,57,60,49,48,86,84,96,39,10,1
349,68.0,BLUE PIKACHU,2.0,Digital Chaos,43,112,19,84,61,13,78,86,83,47,18,0
351,68.0,BLUE PIKACHU,2.0,Digital Chaos,29,3,19,16,98,57,27,38,51,20,70,0
353,28.0,VGJ.Storm,43.0,Team Leviathan,49,86,71,13,48,108,91,39,107,16,94,1
354,43.0,Team Leviathan,28.0,VGJ.Storm,53,3,57,28,13,67,107,39,87,53,77,0
355,28.0,VGJ.Storm,2.0,Digital Chaos,49,57,51,87,39,18,15,68,84,81,47,0
356,2.0,Digital Chaos,28.0,VGJ.Storm,56,28,86,43,109,102,3,13,16,54,74,0
357,28.0,VGJ.Storm,2.0,Digital Chaos,39,3,107,13,109,22,28,38,50,43,18,0
361,45.0,Sun Gaming,55.0,KEEN GAMING,75,86,51,54,11,110,84,72,26,108,13,0
363,55.0,KEEN GAMING,45.0,Sun Gaming,34,51,87,63,49,29,16,20,40,12,76,1
364,29.0,TNC Pro Team,36.0,WarriorsGaming.Unity,33,19,75,7,43,13,107,3,69,54,94,1
365,36.0,WarriorsGaming.Unity,29.0,TNC Pro Team,54,57,100,68,81,109,15,3,23,69,9,0
369,4.0,LGD.Forever Young,11.0,Vici Gaming,63,38,84,79,35,93,3,103,18,34,104,1
372,29.0,TNC Pro Team,7.0,Fnatic,29,100,86,15,74,19,84,57,28,9,94,1
374,4.0,LGD.Forever Young,11.0,Vici Gaming,39,84,72,87,39,103,3,16,29,43,114,0
375,29.0,TNC Pro Team,7.0,Fnatic,73,107,69,111,59,77,84,100,87,20,82,1
376,47.0,Newbee.Young,55.0,KEEN GAMING,52,78,3,23,54,17,16,101,72,13,41,1
378,4.0,LGD.Forever Young,11.0,Vici Gaming,71,84,72,30,49,53,85,29,87,54,34,0
379,55.0,KEEN GAMING,47.0,Newbee.Young,66,3,28,80,65,9,62,69,112,15,34,0
380,5.0,LGD-GAMING,12.0,Newbee,63,16,57,87,43,113,86,28,63,69,35,0
381,12.0,Newbee,5.0,LGD-GAMING,56,84,39,28,114,65,107,68,101,29,93,0
384,12.0,Newbee,5.0,LGD-GAMING,50,112,72,51,17,69,88,92,78,39,42,0
385,17.0,Natus Vincere,18.0,Virtus.pro,37,20,58,51,17,94,19,84,68,54,1,1
