,radiant_id,radiant_name,dire_id,dire_name,kills,radiant1,radiant2,radiant3,radiant4,radiant5,dire1,dire2,dire3,dire4,dire5,radiant_win
227,18.0,Virtus.pro,7.0,Fnatic,0,65,106,27,7,6,74,50,51,66,10,1
228,,Revival Dragons.,21.0,Team Empire,0,68,88,69,54,55,50,92,13,86,11,0
229,16.0,Team Liquid,,Alliance,0,74,88,58,50,9,65,66,48,93,27,0
230,,MeetYourMakers.Dota2,,_PowerRangers,0,88,92,9,3,75,74,65,54,63,102,1
231,16.0,Team Liquid,7.0,Fnatic,0,77,92,87,48,2,65,3,58,51,89,0
232,,dignotoss,,Doggy Team,0,91,50,2,17,64,106,86,102,53,32,0
233,16.0,Team Liquid,,Osiris Gaming,0,3,9,77,34,49,92,86,96,98,17,1
234,14.0,Evil Geniuses,,Team_eHug,0,106,65,79,5,13,51,54,9,93,86,1
235,,Revenge-,,CNB HyperX,0,65,88,49,48,62,89,87,78,86,10,1
236,12.0,Newbee,,CIS-Game,0,68,51,54,73,72,65,17,3,86,11,1
237,,Dream time.,11.0,Vici Gaming,0,53,69,92,47,4,68,86,96,26,93,0
238,23.0,Invictus Gaming,5.0,LGD-GAMING,0,49,68,54,38,1,73,78,86,63,50,1
239,,TongFu.WanZhou,,DK,0,91,38,54,87,86,65,96,77,20,11,0
240,18.0,Virtus.pro,,_Cleave_,0,65,88,54,89,10,68,17,69,3,13,1
241,14.0,Evil Geniuses,,,0,89,11,5,17,93,65,3,40,51,74,0
242,,TheRerereTRY,,_Cleave_,0,68,106,65,48,97,50,17,102,7,63,0
243,18.0,Virtus.pro,21.0,Team Empire,0,92,77,86,9,54,74,53,3,13,96,0
244,,SIGMA.int,,,0,3,9,89,10,86,106,68,88,28,29,1
245,,Osiris Gaming,,CNB HyperX,0,92,3,13,7,43,65,9,28,48,51,1
246,14.0,Evil Geniuses,,Doggy Team,0,78,68,65,55,5,92,11,106,50,48,1
247,,Team_eHug,,Revenge-,0,92,51,102,2,55,9,5,93,97,35,0
248,,Birdgang,,NoProblem.kr,0,74,87,51,92,35,65,54,5,89,26,1
249,23.0,Invictus Gaming,,DK,0,77,68,13,50,2,53,86,74,20,103,1
250,,MVP HOTSIX,,MVP Phoenix,0,51,10,79,39,77,5,93,21,7,9,0
251,5.0,LGD-GAMING,11.0,Vici Gaming,0,86,53,54,19,33,40,88,91,92,106,1
252,,Ing-ing-inG,,-Team Nemesis-,0,9,79,48,87,106,93,40,51,96,13,0
253,,Dream time.,12.0,Newbee,0,27,68,51,67,13,73,55,86,1,74,0
254,,GET OUTS,,Monkey Spanner,0,50,86,54,45,41,68,27,55,13,96,0
255,,TongFu.WanZhou,,CIS-Game,0,68,73,86,16,1,53,79,23,96,10,1
256,,Alliance,,Radical Online X-tremists,0,74,66,52,106,87,77,31,13,16,80,1
257,,xGame.kz,,Alliance,0,106,65,26,13,53,50,3,54,79,10,0
258,,TheRerereTRY,,Alliance,0,87,88,66,34,2,9,3,62,28,56,0
259,,,,Alliance,0,106,65,50,51,43,9,3,66,10,7,1
260,16.0,Team Liquid,,dignotoss,0,68,77,5,55,46,87,40,48,88,11,1
261,11.0,Vici Gaming,12.0,Newbee,0,58,86,13,68,45,77,96,20,55,72,1
262,,Birdgang,,MVP Phoenix,0,74,3,50,46,5,92,93,96,28,98,0
263,,DK,,Dream time.,0,88,40,89,91,67,65,15,16,9,11,0
264,,CIS-Game,23.0,Invictus Gaming,0,53,86,16,26,62,74,65,106,46,54,0
265,,GET OUTS,,Ing-ing-inG,0,9,3,17,20,77,53,86,49,98,93,1
266,,TongFu.WanZhou,23.0,Invictus Gaming,0,40,53,54,46,69,65,86,68,13,20,0
267,,Ahead.,,,0,10,50,65,13,6,92,9,91,87,93,0
268,7.0,Fnatic,18.0,Virtus.pro,0,87,65,20,30,21,89,88,48,69,80,0
269,,SIGMA.int,21.0,Team Empire,0,65,68,40,106,10,50,88,86,38,41,0
270,,_Cleave_,,_PowerRangers,0,53,92,17,46,26,68,65,54,27,93,0
271,,SIGMA.int,,MeetYourMakers.Dota2,0,3,58,65,43,53,50,28,88,74,77,1
272,,CIS-Game,5.0,LGD-GAMING,0,40,27,69,50,2,106,58,54,77,38,0
273,5.0,LGD-GAMING,,Dream time.,0,53,16,66,54,68,40,88,27,9,57,1
274,,MVP HOTSIX,,GET OUTS,0,79,68,63,27,89,93,74,69,51,34,1
275,12.0,Newbee,,DK,0,96,91,17,10,74,68,51,88,54,16,1
276,,Monkey Spanner,,NoProblem.kr,0,50,92,51,20,49,68,77,53,48,45,1
277,,TongFu.WanZhou,11.0,Vici Gaming,0,53,51,8,86,47,65,92,98,96,19,0
278,7.0,Fnatic,,_Cleave_,0,50,98,17,9,3,91,19,88,7,10,1
279,,Ahead.,,_PowerRangers,0,51,68,9,54,13,88,53,87,73,47,0
280,,Ahead.,21.0,Team Empire,0,3,51,13,106,67,68,65,40,20,6,0
281,,SIGMA.int,,_PowerRangers,0,65,68,20,52,93,53,17,79,74,54,1
282,,MVP Phoenix,,Ing-ing-inG,0,9,3,51,5,59,22,68,67,47,34,1
283,,MVP HOTSIX,,Monkey Spanner,0,5,9,26,54,16,96,91,17,98,48,1
284,,"Relax, you are doing fine.",,Revival Dragons.,0,28,92,9,77,46,50,65,26,3,80,1
285,,Ahead.,,xGame.kz,0,3,9,43,96,89,50,17,58,102,28,0
286,7.0,Fnatic,,Alliance,0,74,66,27,53,7,91,19,45,77,31,0
287,,MeetYourMakers.Dota2,,_Cleave_,0,65,16,17,43,80,58,102,49,10,68,1
288,,Alliance,18.0,Virtus.pro,0,50,65,48,106,5,87,88,6,49,75,1
289,,SIGMA.int,,Revival Dragons.,0,3,65,92,46,99,50,28,26,38,16,1
290,21.0,Team Empire,,Radical Online X-tremists,0,50,53,31,51,13,77,68,86,96,17,1
291,18.0,Virtus.pro,,Alliance,0,50,51,54,2,63,68,88,13,75,38,1
292,,,,Doggy Team,0,89,9,96,17,55,92,6,7,31,74,0
293,,Alliance,18.0,Virtus.pro,0,74,66,40,88,92,65,54,5,45,93,1
294,,Alliance,18.0,Virtus.pro,0,65,66,54,69,20,74,75,50,80,21,1
295,,Doggy Team,,Osiris Gaming,0,53,9,7,13,5,89,68,96,20,6,1
296,,dignotoss,,Arizona Iced Out Boys,0,87,89,53,11,70,92,50,51,68,74,0
297,,Revenge-,16.0,Team Liquid,0,88,10,27,1,20,89,68,40,34,66,1
