,id matches,patch,region,league_name,league_id,radiant_name,radiant_id,dire_name,dire_id,radiant_score,dire_score,first_ban_radiant,ban1,ban2,ban3,ban4,ban5,ban6,pick1,pick2,pick3,pick4,ban7,ban8,ban9,ban10,pick5,pick6,pick7,pick8,ban11,ban12,pick9,pick10,radiant_win
0,3673399279,21,3,PGL BUCHAREST MAJOR 2018,9584,Team Singularity,46.0,Planet Dog 2.0,,3,24,1,60,100,103,19,51,16,3,27,69,85,39,12,49,81,13,53,77,109,43,34,15,61,0
0,3673403923,21,3,PGL BUCHAREST MAJOR 2018,9584,OG,0.0,PENTA Sports,38.0,34,41,0,19,54,100,102,66,109,27,89,87,78,77,34,12,11,33,23,8,52,1,47,81,13,1
0,3673482405,21,8,ESL One Katowice 2018 powered by Intel,9633,Effect,3.0,Team. Spirit,20.0,36,25,0,86,81,100,19,3,16,30,27,51,60,77,43,41,49,11,66,63,72,12,57,39,104,1
0,3673559508,21,3,ESL One Katowice 2018 powered by Intel,9633,OG,0.0,Planet Dog 2.0,,37,33,1,77,100,103,66,69,19,27,3,51,107,78,57,12,29,49,33,13,61,47,38,11,114,1
0,3673560465,21,3,PGL BUCHAREST MAJOR 2018,9584,Team Doggie,,@__@,,27,38,1,60,19,51,65,33,78,100,68,89,27,109,77,34,58,39,13,81,29,12,96,8,114,0
0,3673562182,21,3,PGL BUCHAREST MAJOR 2018,9584,The Final Tribe,,Team Kinguin,,11,25,1,103,27,58,3,60,19,30,16,100,13,11,61,51,77,68,107,49,48,15,94,47,109,0
0,3673578605,21,8,ESL One Katowice 2018 powered by Intel,9633,Effect,3.0,Team. Spirit,20.0,24,34,0,86,81,100,16,3,19,27,51,78,107,15,11,17,43,87,72,49,76,57,54,96,48,1
0,3673623945,21,3,PGL BUCHAREST MAJOR 2018,9584,The Final Tribe,,Team Kinguin,,29,11,1,103,27,58,19,60,3,100,79,102,13,68,61,11,49,50,64,80,81,39,94,76,12,1
0,3673631946,21,3,PGL BUCHAREST MAJOR 2018,9584,Team Doggie,,@__@,,10,30,0,65,60,78,51,39,33,19,27,11,107,13,100,86,57,16,77,85,112,76,12,35,54,0
0,3673639687,21,10,PGL BUCHAREST MAJOR 2018,9584,Infamous,52.0,paiN Gaming,,23,50,0,79,84,57,100,19,60,3,112,16,13,15,49,6,94,38,103,80,78,72,46,93,43,0
0,3673640339,21,10,PGL BUCHAREST MAJOR 2018,9584,Wheel Whreck While Whistling,,SG e-sports team,54.0,13,23,0,16,3,51,103,100,57,62,107,30,55,27,88,34,60,13,49,8,79,48,11,109,98,0
0,3673647411,21,3,ESL One Katowice 2018 powered by Intel,9633,Planet Dog 2.0,,OG,0.0,19,19,1,66,103,19,51,89,100,27,16,50,13,77,49,60,78,88,7,80,54,61,47,11,46,0
0,3673650821,21,8,PGL BUCHAREST MAJOR 2018,9584,Gambit Esports,9.0,Effect,3.0,14,34,0,16,78,58,100,27,3,19,15,30,68,65,85,109,41,107,11,39,88,51,38,63,33,0
0,3673654779,21,8,PGL BUCHAREST MAJOR 2018,9584,Team. Spirit,20.0,Suicide Team,,8,19,0,58,19,81,30,60,51,27,16,3,107,49,61,78,72,15,65,88,77,43,41,39,12,0
0,3673687191,21,3,PGL BUCHAREST MAJOR 2018,9584,The Final Tribe,,Team Kinguin,,35,13,1,103,13,58,19,60,100,30,68,16,51,11,12,39,61,23,8,49,76,104,77,65,54,1
0,3673690513,21,2,SL i-League Invitational Season 4,9579,compLexity Gaming,31.0,Immortals,35.0,17,4,1,27,86,3,100,62,66,16,51,101,77,47,98,65,108,19,30,29,43,15,61,57,4,1
0,3673691377,21,2,PGL BUCHAREST MAJOR 2018,9584,VGJ.Storm,28.0,OpTic Gaming,13.0,20,6,1,103,3,13,27,51,100,16,68,19,111,65,78,54,108,60,77,49,29,94,34,15,10,1
0,3673702603,21,8,PGL BUCHAREST MAJOR 2018,9584,Suicide Team,,Team. Spirit,20.0,33,46,0,112,81,86,60,3,58,28,51,11,94,6,88,61,63,30,79,65,54,19,15,78,109,1
0,3673721028,21,8,PGL BUCHAREST MAJOR 2018,9584,Effect,3.0,Gambit Esports,9.0,24,24,0,78,100,60,58,15,19,3,27,51,16,77,11,66,72,43,57,109,35,63,96,41,86,1
0,3673725612,21,10,PGL BUCHAREST MAJOR 2018,9584,Infamous,52.0,paiN Gaming,,28,22,0,19,84,3,60,57,100,27,112,38,16,15,94,76,6,107,72,47,85,43,54,11,8,1
0,3673733442,21,2,SL i-League Invitational Season 4,9579,compLexity Gaming,31.0,Immortals,35.0,22,13,0,86,3,58,27,16,66,100,112,13,101,45,6,19,85,77,78,51,12,61,98,49,11,1
0,3673733716,21,10,PGL BUCHAREST MAJOR 2018,9584,SG e-sports team,54.0,Wheel Whreck While Whistling,,37,20,0,62,16,3,100,103,51,57,19,79,30,54,48,15,29,86,88,78,76,98,109,72,35,1
0,3673745148,21,2,PGL BUCHAREST MAJOR 2018,9584,VGJ.Storm,28.0,OpTic Gaming,13.0,7,19,0,16,103,19,13,27,3,100,51,11,39,77,12,68,87,50,66,65,54,104,109,78,61,0
0,3673763737,21,10,PGL BUCHAREST MAJOR 2018,9584,Infamous,52.0,paiN Gaming,,30,6,0,38,84,3,60,57,100,16,103,19,15,47,27,68,107,79,112,86,29,76,43,34,11,1
0,3673783451,21,2,PGL BUCHAREST MAJOR 2018,9584,VGJ.Storm,28.0,OpTic Gaming,13.0,21,32,1,13,3,103,16,68,19,100,27,85,12,29,77,65,78,8,50,33,51,11,34,94,106,0
0,3673789772,21,10,PGL BUCHAREST MAJOR 2018,9584,,,TSHOW RISING,,10,33,0,19,107,51,58,57,3,27,100,112,13,6,1,94,43,49,69,78,63,15,34,7,48,1
0,3673792593,21,10,PGL BUCHAREST MAJOR 2018,9584,VRFGC,,Midas Club ,,23,26,1,19,62,103,61,3,16,27,51,11,100,39,20,57,12,86,43,55,8,65,15,88,109,0
0,3673810304,21,10,ESL One Katowice 2018 powered by Intel,9633,Infamous,52.0,paiN Gaming,,34,31,1,84,38,60,103,68,57,100,19,27,112,6,62,15,65,107,47,53,109,79,114,55,13,1
0,3673826529,21,10,PGL BUCHAREST MAJOR 2018,9584,TSHOW RISING,,Gorillaz-Pride,,34,34,0,60,15,58,68,57,78,16,27,100,87,13,19,29,63,8,43,55,104,12,76,48,39,1
0,3673830518,21,10,PGL BUCHAREST MAJOR 2018,9584,VRFGC,,Midas Club ,,41,30,0,62,19,61,51,57,78,16,3,103,13,68,41,112,49,65,79,34,12,17,4,8,18,1
0,3673836937,21,2,PGL BUCHAREST MAJOR 2018,9584,Immortals,35.0,BLUE PIKACHU,,25,12,1,16,51,86,100,62,77,66,69,112,107,13,39,29,8,19,108,43,67,34,61,35,7,1
0,3673848348,21,10,ESL One Katowice 2018 powered by Intel,9633,Infamous,52.0,paiN Gaming,,37,20,1,84,38,60,103,68,57,100,87,19,47,112,53,6,15,28,79,8,81,55,65,69,34,1
0,3673870809,21,2,PGL BUCHAREST MAJOR 2018,9584,BLUE PIKACHU,,Immortals,35.0,16,31,1,51,16,100,30,66,62,112,3,107,77,57,13,65,49,58,29,98,70,27,35,23,10,0
0,3673872461,21,2,ESL One Katowice 2018 powered by Intel,9633,compLexity Gaming,31.0,VGJ.Storm,28.0,30,11,0,13,3,77,27,11,100,16,86,19,30,65,78,109,33,87,96,108,54,76,43,34,8,1
0,3673874368,21,10,PGL BUCHAREST MAJOR 2018,9584,VRFGC,,Midas Club ,,45,35,1,62,19,100,34,30,61,103,51,11,3,65,55,57,112,16,66,37,49,8,72,63,93,1
0,3673918084,21,2,PGL BUCHAREST MAJOR 2018,9584,borster,,Animal Planet,,11,30,1,100,62,103,51,16,58,27,3,19,107,78,109,12,65,83,102,38,8,11,94,43,34,0
0,3673922353,21,2,ESL One Katowice 2018 powered by Intel,9633,VGJ.Storm,28.0,compLexity Gaming,31.0,21,10,0,3,13,27,77,16,19,112,68,51,38,12,11,8,65,49,62,102,76,15,81,80,109,1
0,3673964759,21,2,PGL BUCHAREST MAJOR 2018,9584,Animal Planet,,borster,,26,12,1,19,3,100,85,58,51,27,16,30,78,38,43,83,15,29,8,39,47,57,12,7,109,1
0,3673986808,21,2,ESL One Katowice 2018 powered by Intel,9633,compLexity Gaming,31.0,VGJ.Storm,28.0,27,12,0,13,27,77,3,19,51,16,86,11,12,65,78,46,57,87,68,104,70,29,109,100,63,1
0,3674025041,21,2,ESL One Katowice 2018 powered by Intel,9633,Immortals,35.0,CES,,17,31,0,27,60,3,62,19,57,16,86,51,12,112,11,68,34,13,87,67,77,107,65,85,33,0
0,3674089192,21,2,ESL One Katowice 2018 powered by Intel,9633,CES,,Immortals,35.0,10,27,0,16,27,85,3,100,66,62,51,87,30,12,77,57,102,29,15,11,35,78,63,69,39,0
0,3674106773,21,18,SL i-League Invitational Season 4,9579,LGD-GAMING,5.0,Vici Gaming,11.0,32,19,1,62,57,60,41,19,100,3,51,11,103,39,29,104,12,65,78,110,63,17,77,46,49,1
0,3674136979,21,5,ESL One Katowice 2018 powered by Intel,9633,Fnatic,7.0,TNC Pro Team,29.0,29,15,0,57,60,103,51,88,62,100,19,27,34,15,67,54,74,16,75,65,12,29,11,69,61,1
0,3674138469,21,2,ESL One Katowice 2018 powered by Intel,9633,Immortals,35.0,CES,,26,15,1,16,3,100,27,77,62,107,30,12,87,34,85,13,51,103,55,57,15,106,8,4,47,1
0,3674169059,21,18,SL i-League Invitational Season 4,9579,Vici Gaming,11.0,LGD-GAMING,5.0,25,38,1,19,60,51,57,11,3,103,30,12,29,13,41,49,39,15,87,86,63,17,88,52,69,0
0,3674209274,21,5,ESL One Katowice 2018 powered by Intel,9633,Fnatic,7.0,TNC Pro Team,29.0,13,38,1,60,57,62,103,51,27,19,88,15,100,109,65,61,34,3,68,11,12,81,98,108,2,0
0,3674318913,21,5,ESL One Katowice 2018 powered by Intel,9633,Fnatic,7.0,TNC Pro Team,29.0,12,30,1,60,57,15,27,3,88,51,19,11,34,65,67,109,22,62,87,86,102,42,81,43,77,0
0,3674345427,21,18,ESL One Katowice 2018 powered by Intel,9633,LGD.Forever Young,4.0,LGD-GAMING,5.0,16,27,0,60,3,12,51,57,30,19,103,41,87,78,49,39,94,43,11,31,89,13,15,77,72,0
0,3674347563,21,5,PGL BUCHAREST MAJOR 2018,9584,Execration,39.0,BOOM ID,,34,35,0,19,107,15,57,69,51,62,60,64,87,77,39,114,29,41,34,88,12,55,17,96,11,1
0,3674363710,21,5,PGL BUCHAREST MAJOR 2018,9584,Geek Fam,24.0,TEAM FLASH,,20,12,1,57,19,69,60,65,51,88,33,100,94,112,15,75,12,3,86,11,77,38,9,39,20,1
0,3674399684,21,5,ESL One Katowice 2018 powered by Intel,9633,Fnatic,7.0,TNC Pro Team,29.0,27,25,0,57,60,27,62,88,11,19,86,103,100,98,29,41,74,63,87,65,39,12,34,69,49,1
0,3674429258,21,18,ESL One Katowice 2018 powered by Intel,9633,LGD-GAMING,5.0,LGD.Forever Young,4.0,31,14,0,3,60,51,19,15,57,103,30,12,13,49,41,1,29,11,27,78,63,61,88,94,62,1
0,3674440157,21,5,PGL BUCHAREST MAJOR 2018,9584,TEAM FLASH,,Geek Fam,24.0,14,20,1,19,57,51,69,15,60,16,88,94,68,12,27,49,3,41,29,30,11,20,65,9,39,0
0,3674450456,21,5,PGL BUCHAREST MAJOR 2018,9584,BOOM ID,,Execration,39.0,23,51,0,107,60,57,62,51,69,19,30,16,100,15,114,41,88,34,75,78,13,67,12,8,109,0
0,3674500189,21,5,ESL One Katowice 2018 powered by Intel,9633,Fnatic,7.0,TNC Pro Team,29.0,31,26,0,57,60,27,62,103,11,88,86,51,65,77,54,98,12,29,68,63,94,6,61,109,34,1
0,3674668790,21,5,SL i-League Invitational Season 4,9579,Mineski.???,6.0,TNC Pro Team,29.0,26,12,1,11,19,88,60,77,62,51,86,107,27,15,12,13,65,57,39,76,48,61,109,66,99,1
