,dire_score,dire_team_id,match_id,radiant_score,radiant_team_id,radiant_win,start_time,radiant_H1,radiant_H2,radiant_H3,radiant_H4,radiant_H5,dire_H1,dire_H2,dire_H3,dire_H4,dire_H5,radiant_P1,radiant_P2,radiant_P3,radiant_P4,radiant_P5,dire_P1,dire_P2,dire_P3,dire_P4,dire_P5,league_name
70,36,111474.0,3841994108,17,3704482.0,False,1524229495,30.0,47.0,102.0,11.0,100.0,68.0,72.0,19.0,28.0,12.0,87197791.0,100058342.0,24009418.0,245373129.0,98167706.0,54580962.0,101495620.0,77490514.0,3916428.0,152962063.0,CHINA DOTA2 SUPER MAJOR
71,38,5059375.0,3841995251,10,5229049.0,False,1524229500,68.0,49.0,109.0,100.0,16.0,22.0,104.0,72.0,89.0,30.0,4281729.0,86738694.0,95430068.0,86953414.0,169025618.0,100317750.0,40209325.0,169359249.0,117015167.0,18180970.0,ESL One Birmingham 2018 powered by Intel
72,17,5229127.0,3842011869,14,4425117.0,False,1524230060,30.0,57.0,100.0,54.0,52.0,66.0,86.0,39.0,49.0,12.0,90423751.0,86785083.0,129071882.0,132739889.0,177411785.0,93552791.0,91064780.0,250114507.0,130801103.0,89269794.0,ESL One Birmingham 2018 powered by Intel
73,18,4425117.0,3842103049,36,5229127.0,True,1524233037,100.0,68.0,104.0,13.0,49.0,28.0,38.0,66.0,72.0,45.0,93552791.0,91064780.0,250114507.0,130801103.0,89269794.0,90423751.0,86785083.0,129071882.0,132739889.0,177411785.0,ESL One Birmingham 2018 powered by Intel
74,22,111474.0,3842116324,32,3704482.0,True,1524233579,52.0,41.0,89.0,92.0,16.0,86.0,28.0,53.0,103.0,25.0,87197791.0,100058342.0,24009418.0,245373129.0,98167706.0,54580962.0,101495620.0,77490514.0,3916428.0,152962063.0,CHINA DOTA2 SUPER MAJOR
75,26,5229049.0,3842119964,27,5059375.0,True,1524233572,47.0,102.0,8.0,86.0,53.0,30.0,35.0,54.0,64.0,78.0,100317750.0,40209325.0,169359249.0,117015167.0,18180970.0,4281729.0,86738694.0,95430068.0,86953414.0,169025618.0,ESL One Birmingham 2018 powered by Intel
76,22,5006832.0,3842225860,33,111474.0,True,1524237081,68.0,40.0,53.0,16.0,95.0,64.0,25.0,8.0,89.0,2.0,54580962.0,101495620.0,77490514.0,3916428.0,152962063.0,23589642.0,96803083.0,32995405.0,118078153.0,92968238.0,CHINA DOTA2 SUPER MAJOR
77,27,5229049.0,3842314169,16,5039050.0,False,1524240148,50.0,86.0,25.0,93.0,19.0,3.0,92.0,54.0,119.0,65.0,57516313.0,26356855.0,121769650.0,62533910.0,92367063.0,4281729.0,86738694.0,95430068.0,86953414.0,169025618.0,CHINA DOTA2 SUPER MAJOR
78,32,111474.0,3842323290,40,5006832.0,True,1524240521,87.0,109.0,46.0,100.0,38.0,26.0,72.0,43.0,62.0,120.0,23589642.0,96803083.0,32995405.0,118078153.0,92968238.0,54580962.0,101495620.0,152962063.0,3916428.0,77490514.0,CHINA DOTA2 SUPER MAJOR
79,33,3704482.0,3842324789,14,2786652.0,False,1524240537,68.0,47.0,13.0,16.0,69.0,86.0,109.0,89.0,25.0,100.0,60943014.0,122049498.0,141690233.0,87423323.0,20321748.0,87197791.0,100058342.0,24009418.0,245373129.0,98167706.0,ESL One Birmingham 2018 powered by Intel
80,20,5229049.0,3842412322,36,5039050.0,True,1524244010,68.0,86.0,10.0,58.0,19.0,3.0,15.0,113.0,16.0,65.0,57516313.0,26356855.0,121769650.0,62533910.0,92367063.0,4281729.0,86738694.0,95430068.0,86953414.0,169025618.0,CHINA DOTA2 SUPER MAJOR
81,33,3704482.0,3842426275,6,2786652.0,False,1524244559,30.0,54.0,25.0,28.0,7.0,52.0,81.0,63.0,43.0,16.0,60943014.0,122049498.0,141690233.0,87423323.0,20321748.0,87197791.0,100058342.0,24009418.0,245373129.0,98167706.0,ESL One Birmingham 2018 powered by Intel
82,7,3704482.0,3842544257,38,5059375.0,True,1524250023,25.0,41.0,72.0,89.0,30.0,87.0,81.0,63.0,19.0,16.0,100317750.0,40209325.0,169359249.0,117015167.0,18180970.0,87197791.0,100058342.0,24009418.0,245373129.0,98167706.0,CHINA DOTA2 SUPER MAJOR
83,39,5059375.0,3842606973,18,3704482.0,False,1524253210,3.0,41.0,97.0,92.0,86.0,76.0,2.0,42.0,120.0,30.0,87197791.0,100058342.0,24009418.0,245373129.0,98167706.0,100317750.0,40209325.0,169359249.0,117015167.0,18180970.0,CHINA DOTA2 SUPER MAJOR
84,9,370775.0,3842690958,36,5228654.0,True,1524258180,91.0,39.0,38.0,72.0,87.0,83.0,11.0,30.0,102.0,99.0,86726887.0,86725175.0,10366616.0,108452107.0,47434686.0,86750028.0,115165739.0,186837494.0,76173488.0,123820195.0,ESL One Birmingham 2018 powered by Intel
85,37,3705786.0,3842694685,8,5055770.0,False,1524258436,107.0,19.0,98.0,87.0,95.0,109.0,119.0,15.0,49.0,100.0,349310876.0,298882097.0,164685175.0,94923783.0,153836240.0,242697694.0,101779337.0,59463394.0,118207269.0,283774700.0,ESL One Birmingham 2018 powered by Intel
86,39,5228654.0,3842734691,23,370775.0,False,1524261343,68.0,17.0,83.0,15.0,22.0,16.0,52.0,55.0,41.0,30.0,186837494.0,115165739.0,86750028.0,123820195.0,76173488.0,86726887.0,86725175.0,10366616.0,108452107.0,47434686.0,ESL One Birmingham 2018 powered by Intel
87,44,5055770.0,3842739751,48,3705786.0,False,1524261737,109.0,89.0,19.0,33.0,87.0,16.0,106.0,41.0,30.0,65.0,242697694.0,101779337.0,59463394.0,118207269.0,283774700.0,349310876.0,153836240.0,164685175.0,94923783.0,298882097.0,ESL One Birmingham 2018 powered by Intel
88,31,5051649.0,3842787669,30,3931002.0,True,1524265896,87.0,43.0,108.0,89.0,12.0,100.0,45.0,19.0,4.0,3.0,86974263.0,126238768.0,86811043.0,236858633.0,87360406.0,112377459.0,115141430.0,110539311.0,101450083.0,145550466.0,ESL One Birmingham 2018 powered by Intel
89,20,5055770.0,3842804925,47,3705786.0,True,1524267557,43.0,65.0,60.0,46.0,68.0,62.0,108.0,54.0,87.0,76.0,242697694.0,118207269.0,101779337.0,59463394.0,283774700.0,349310876.0,298882097.0,164685175.0,94923783.0,153836240.0,ESL One Birmingham 2018 powered by Intel
