"match_id","start_time","radiant_team_id","radiant_score","dire_team_id","dire_score","radiant_win"
3273551218,1498405564,4703005,24,2714312,51,false
3273873508,1498416643,4703006,12,2570995,29,false
3274979826,1498470660,1477590,18,4003354,37,false
3275355209,1498482510,3705552,14,4369633,44,false
3275504962,1498486876,,6,3095342,38,false
3275716176,1498493190,3968479,40,645123,42,false
3275836225,1498497418,645123,36,3968479,46,false
3275845594,1498497763,3886945,34,4274424,46,false
3275948021,1498502175,3886945,18,,29,false
3276955966,1498555563,,23,4277461,36,false
3277155851,1498562248,,20,4704920,30,false
3277351833,1498568042,4274839,36,3927252,52,false
3277456605,1498571046,3750946,31,4482961,20,true
3277576403,1498574477,4593287,37,4647193,43,false
3277603392,1498575276,4482961,28,3750946,29,false
3277840539,1498583254,4592662,32,2607096,45,false
3277886933,1498585057,3968479,30,645123,50,false
3277952693,1498587774,2607096,41,4592662,29,true
3278970443,1498642573,,3,1756409,28,false
3279127563,1498648205,4705982,37,2777582,46,false
3279397169,1498656392,3148819,15,4369916,28,false
3279405529,1498656629,24,33,,20,true
3279421771,1498657087,2710805,23,4591569,28,false
3279538142,1498660352,4591569,52,2710805,26,true
3279554215,1498660809,,10,24,27,false
3280543414,1498710873,1732138,9,4369633,32,false
3280974246,1498728920,992217,11,2679744,30,false
3281308081,1498739908,4707213,46,2915964,50,false
3281445686,1498743723,3712313,51,3655754,41,true
3281507252,1498745435,2714312,18,4003354,23,false
3281601939,1498748104,4538572,33,,17,true
3281690170,1498750723,2860369,5,4369633,28,false
3281702029,1498751094,3655754,19,3712313,47,false
3281811762,1498754740,2679744,27,4003354,4,true
3281908923,1498758294,1732138,20,2099268,36,false
3282060247,1498765264,2714312,21,992217,27,false
3282173433,1498770960,2099268,36,4003354,30,true
3282275636,1498777622,2860369,11,992217,23,false
3282335809,1498781766,2099268,10,992217,36,false
3282795314,1498806484,4542383,39,3262512,40,false
3282916694,1498811036,4542383,10,3262512,35,false
